"No.","Time","Source","Data","Data","Destination","Protocol","Length","Info"
"1","0.000000000","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"2","1.075059777","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"3","2.074571999","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"4","3.074049746","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"5","3.999654044","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"6","5.074891566","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"7","5.999683358","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"8","7.074507617","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"9","8.075040246","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"10","9.000130207","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"11","9.485544659","172.16.42.1","","","mdns.mcast.net","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"12","10.073272337","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"13","10.999611581","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"14","11.406185365","172.16.42.1","","","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"15","11.780727180","172.16.42.1","53706f7455647030e62bce4ad9ea665a000100044895c203645c89390e8e6c535da3950câ\200\246","53706f7455647030e62bce4ad9ea665a000100044895c203645c89390e8e6c535da3950câ\200\246","172.16.42.255","UDP","86","57621  >  57621 Len=44"
"16","12.073777362","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"17","13.074991667","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"18","14.074942110","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"19","15.075666523","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"20","16.073948661","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"21","17.074365880","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"22","18.074907097","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"23","19.073702843","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"24","20.074296549","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"25","21.074442088","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"26","22.074330388","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"27","22.999554973","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"28","24.074503434","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"29","25.074395280","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"30","26.074829175","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"31","27.074975384","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"32","28.073121324","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"33","28.999572411","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"34","30.000059694","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"35","31.075236540","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"36","32.074023196","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"37","33.033213630","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"38","34.074782041","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"39","35.073679580","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"40","36.073444882","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"41","36.127092784","172.16.42.143","6520616f206d616e6f202c2073652073616265206120666c6167203f0a","6520616f206d616e6f202c2073652073616265206120666c6167203f0a","172.16.42.139","TCP","95","hbci(3000)  >  46962 [PSH, ACK] Seq=1 Ack=1 Win=510 Len=29 TSval=3667810055 TSecr=4098896"
"42","36.127637139","172.16.42.139","","","172.16.42.143","TCP","66","46962  >  hbci(3000) [ACK] Seq=1 Ack=30 Win=92 Len=0 TSval=4108297 TSecr=3667810055"
"43","37.074168626","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"44","38.000399016","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"45","38.999817608","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"46","40.000150444","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"47","41.074851262","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"48","41.121187453","VMware_24:c6:30","","","VMware_aa:ae:e0","ARP","60","Who has 172.16.42.143? Tell 172.16.42.139"
"49","41.121208397","VMware_aa:ae:e0","","","VMware_24:c6:30","ARP","42","172.16.42.143 is at 00:0c:29:aa:ae:e0"
"50","41.184008850","VMware_aa:ae:e0","","","VMware_24:c6:30","ARP","42","Who has 172.16.42.139? Tell 172.16.42.143"
"51","41.184488741","VMware_24:c6:30","","","VMware_aa:ae:e0","ARP","60","172.16.42.139 is at 00:0c:29:24:c6:30"
"52","41.785293680","172.16.42.1","53706f7455647030e62bce4ad9ea665a000100044895c203645c89390e8e6c535da3950câ\200\246","53706f7455647030e62bce4ad9ea665a000100044895c203645c89390e8e6c535da3950câ\200\246","172.16.42.255","UDP","86","57621  >  57621 Len=44"
"53","42.074265689","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"54","43.074742586","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"55","44.074599041","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"56","45.074164739","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"57","46.075268614","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"58","47.074023355","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"59","47.999566062","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"60","49.073900061","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"61","50.074243773","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"62","51.074094192","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"63","51.999969529","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"64","53.074268235","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"65","53.999711231","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"66","55.073001784","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"67","56.074202472","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"68","57.074288213","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"69","58.074691778","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"70","59.000186885","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"71","60.073756961","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"72","61.074049856","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"73","62.075096488","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"74","62.999778675","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"75","64.000113501","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"76","65.074845346","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"77","65.999762613","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"78","67.000216013","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"79","67.999866658","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"80","68.998971368","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"81","70.000577899","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"82","71.073800905","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"83","71.829041320","172.16.42.1","53706f7455647030e62bce4ad9ea665a000100044895c203645c89390e8e6c535da3950câ\200\246","53706f7455647030e62bce4ad9ea665a000100044895c203645c89390e8e6c535da3950câ\200\246","172.16.42.255","UDP","86","57621  >  57621 Len=44"
"84","72.073615940","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
"85","73.074111066","172.16.42.1","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","00694d61632d64652d4d61632e6c6f63616c0000007000008543266cff7f00000030dd12â\200\246","172.16.42.255","UDP","305","54915  >  54915 Len=263"
